ダウンロードした時刻：2018/07/25 15:53:04

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1940/1/1,,0,1,,0,1,,0,1
1940/1/2,,0,1,,0,1,,0,1
1940/1/3,,0,1,,0,1,,0,1
1940/1/4,,0,1,,0,1,,0,1
1940/1/5,,0,1,,0,1,,0,1
1940/1/6,,0,1,,0,1,,0,1
1940/1/7,,0,1,,0,1,,0,1
1940/1/8,,0,1,,0,1,,0,1
1940/1/9,,0,1,,0,1,,0,1
1940/1/10,,0,1,,0,1,,0,1
1940/1/11,,0,1,,0,1,,0,1
1940/1/12,,0,1,,0,1,,0,1
1940/1/13,,0,1,,0,1,,0,1
1940/1/14,,0,1,,0,1,,0,1
1940/1/15,,0,1,,0,1,,0,1
1940/1/16,,0,1,,0,1,,0,1
1940/1/17,,0,1,,0,1,,0,1
1940/1/18,,0,1,,0,1,,0,1
1940/1/19,,0,1,,0,1,,0,1
1940/1/20,,0,1,,0,1,,0,1
1940/1/21,,0,1,,0,1,,0,1
1940/1/22,,0,1,,0,1,,0,1
1940/1/23,,0,1,,0,1,,0,1
1940/1/24,,0,1,,0,1,,0,1
1940/1/25,,0,1,,0,1,,0,1
1940/1/26,,0,1,,0,1,,0,1
1940/1/27,,0,1,,0,1,,0,1
1940/1/28,,0,1,,0,1,,0,1
1940/1/29,,0,1,,0,1,,0,1
1940/1/30,,0,1,,0,1,,0,1
1940/1/31,,0,1,,0,1,,0,1
1940/2/1,,0,1,,0,1,,0,1
1940/2/2,,0,1,,0,1,,0,1
1940/2/3,,0,1,,0,1,,0,1
1940/2/4,,0,1,,0,1,,0,1
1940/2/5,,0,1,,0,1,,0,1
1940/2/6,,0,1,,0,1,,0,1
1940/2/7,,0,1,,0,1,,0,1
1940/2/8,,0,1,,0,1,,0,1
1940/2/9,,0,1,,0,1,,0,1
1940/2/10,,0,1,,0,1,,0,1
1940/2/11,,0,1,,0,1,,0,1
1940/2/12,,0,1,,0,1,,0,1
1940/2/13,,0,1,,0,1,,0,1
1940/2/14,,0,1,,0,1,,0,1
1940/2/15,,0,1,,0,1,,0,1
1940/2/16,,0,1,,0,1,,0,1
1940/2/17,,0,1,,0,1,,0,1
1940/2/18,,0,1,,0,1,,0,1
1940/2/19,,0,1,,0,1,,0,1
1940/2/20,,0,1,,0,1,,0,1
1940/2/21,,0,1,,0,1,,0,1
1940/2/22,,0,1,,0,1,,0,1
1940/2/23,,0,1,,0,1,,0,1
1940/2/24,,0,1,,0,1,,0,1
1940/2/25,,0,1,,0,1,,0,1
1940/2/26,,0,1,,0,1,,0,1
1940/2/27,,0,1,,0,1,,0,1
1940/2/28,,0,1,,0,1,,0,1
1940/2/29,,0,1,,0,1,,0,1
1940/3/1,,0,1,,0,1,,0,1
1940/3/2,,0,1,,0,1,,0,1
1940/3/3,,0,1,,0,1,,0,1
1940/3/4,,0,1,,0,1,,0,1
1940/3/5,,0,1,,0,1,,0,1
1940/3/6,,0,1,,0,1,,0,1
1940/3/7,,0,1,,0,1,,0,1
1940/3/8,,0,1,,0,1,,0,1
1940/3/9,,0,1,,0,1,,0,1
1940/3/10,,0,1,,0,1,,0,1
1940/3/11,,0,1,,0,1,,0,1
1940/3/12,,0,1,,0,1,,0,1
1940/3/13,,0,1,,0,1,,0,1
1940/3/14,,0,1,,0,1,,0,1
1940/3/15,,0,1,,0,1,,0,1
1940/3/16,,0,1,,0,1,,0,1
1940/3/17,,0,1,,0,1,,0,1
1940/3/18,,0,1,,0,1,,0,1
1940/3/19,,0,1,,0,1,,0,1
1940/3/20,,0,1,,0,1,,0,1
1940/3/21,,0,1,,0,1,,0,1
1940/3/22,,0,1,,0,1,,0,1
1940/3/23,,0,1,,0,1,,0,1
1940/3/24,,0,1,,0,1,,0,1
1940/3/25,,0,1,,0,1,,0,1
1940/3/26,,0,1,,0,1,,0,1
1940/3/27,,0,1,,0,1,,0,1
1940/3/28,,0,1,,0,1,,0,1
1940/3/29,,0,1,,0,1,,0,1
1940/3/30,,0,1,,0,1,,0,1
1940/3/31,,0,1,,0,1,,0,1
1940/4/1,,0,1,,0,1,,0,1
1940/4/2,,0,1,,0,1,,0,1
1940/4/3,,0,1,,0,1,,0,1
1940/4/4,,0,1,,0,1,,0,1
1940/4/5,,0,1,,0,1,,0,1
1940/4/6,,0,1,,0,1,,0,1
1940/4/7,,0,1,,0,1,,0,1
1940/4/8,,0,1,,0,1,,0,1
1940/4/9,,0,1,,0,1,,0,1
1940/4/10,,0,1,,0,1,,0,1
1940/4/11,,0,1,,0,1,,0,1
1940/4/12,,0,1,,0,1,,0,1
1940/4/13,,0,1,,0,1,,0,1
1940/4/14,,0,1,,0,1,,0,1
1940/4/15,,0,1,,0,1,,0,1
1940/4/16,,0,1,,0,1,,0,1
1940/4/17,,0,1,,0,1,,0,1
1940/4/18,,0,1,,0,1,,0,1
1940/4/19,,0,1,,0,1,,0,1
1940/4/20,,0,1,,0,1,,0,1
1940/4/21,,0,1,,0,1,,0,1
1940/4/22,,0,1,,0,1,,0,1
1940/4/23,,0,1,,0,1,,0,1
1940/4/24,,0,1,,0,1,,0,1
1940/4/25,,0,1,,0,1,,0,1
1940/4/26,,0,1,,0,1,,0,1
1940/4/27,,0,1,,0,1,,0,1
1940/4/28,,0,1,,0,1,,0,1
1940/4/29,,0,1,,0,1,,0,1
1940/4/30,,0,1,,0,1,,0,1
1940/5/1,,0,1,,0,1,,0,1
1940/5/2,,0,1,,0,1,,0,1
