ダウンロードした時刻：2018/07/25 16:16:07

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1970/1/1,4.9,8,1,8.1,8,1,0.9,8,1
1970/1/2,6.0,8,1,9.6,8,1,1.1,8,1
1970/1/3,4.3,8,1,7.0,8,1,2.3,8,1
1970/1/4,1.1,8,1,2.8,8,1,-0.3,8,1
1970/1/5,0.9,8,1,4.9,8,1,-2.6,8,1
1970/1/6,3.8,8,1,7.4,8,1,-2.0,8,1
1970/1/7,4.7,8,1,11.1,8,1,-1.7,8,1
1970/1/8,3.2,8,1,8.0,8,1,0.2,8,1
1970/1/9,3.5,8,1,8.0,8,1,-0.4,8,1
1970/1/10,3.8,8,1,9.5,8,1,-0.5,8,1
1970/1/11,4.3,8,1,10.3,8,1,-1.3,8,1
1970/1/12,5.3,8,1,10.9,8,1,-0.1,8,1
1970/1/13,7.2,8,1,11.6,8,1,1.2,8,1
1970/1/14,2.5,8,1,6.3,8,1,-0.8,8,1
1970/1/15,1.0,8,1,4.1,8,1,-2.9,8,1
1970/1/16,0.0,8,1,2.9,8,1,-2.5,8,1
1970/1/17,0.0,8,1,4.1,8,1,-5.1,8,1
1970/1/18,2.7,8,1,7.1,8,1,-1.3,8,1
1970/1/19,2.0,8,1,7.1,8,1,-3.9,8,1
1970/1/20,2.8,8,1,8.6,8,1,-1.7,8,1
1970/1/21,3.3,8,1,10.0,8,1,-3.1,8,1
1970/1/22,3.8,8,1,9.0,8,1,-2.1,8,1
1970/1/23,3.7,8,1,8.1,8,1,1.1,8,1
1970/1/24,4.8,8,1,8.6,8,1,-0.3,8,1
1970/1/25,4.0,8,1,8.9,8,1,1.2,8,1
1970/1/26,2.6,8,1,5.3,8,1,-0.7,8,1
1970/1/27,3.4,8,1,8.6,8,1,-0.3,8,1
1970/1/28,2.8,8,1,8.5,8,1,-4.6,8,1
1970/1/29,4.4,8,1,11.6,8,1,-2.8,8,1
1970/1/30,7.1,8,1,13.1,8,1,2.2,8,1
1970/1/31,9.8,8,1,14.3,8,1,4.4,8,1
1970/2/1,5.3,8,1,9.0,8,1,3.0,8,1
1970/2/2,4.0,8,1,7.7,8,1,1.8,8,1
1970/2/3,4.5,8,1,8.7,8,1,2.0,8,1
1970/2/4,4.4,8,1,9.7,8,1,-1.1,8,1
1970/2/5,1.6,8,1,5.2,8,1,-0.8,8,1
1970/2/6,3.8,8,1,7.7,8,1,0.8,8,1
1970/2/7,3.4,8,1,9.6,8,1,-2.3,8,1
1970/2/8,2.7,8,1,4.1,8,1,-0.8,8,1
1970/2/9,6.3,8,1,9.9,8,1,1.5,8,1
1970/2/10,2.2,8,1,5.8,8,1,-0.9,8,1
1970/2/11,2.4,8,1,6.3,8,1,-2.9,8,1
1970/2/12,4.8,8,1,11.9,8,1,-2.9,8,1
1970/2/13,7.3,8,1,12.0,8,1,1.0,8,1
1970/2/14,10.0,8,1,14.4,8,1,5.1,8,1
1970/2/15,6.7,8,1,11.8,8,1,2.8,8,1
1970/2/16,3.8,8,1,9.1,8,1,-0.1,8,1
1970/2/17,5.2,8,1,11.0,8,1,-2.2,8,1
1970/2/18,7.0,8,1,12.6,8,1,0.4,8,1
1970/2/19,8.7,8,1,14.7,8,1,1.9,8,1
1970/2/20,12.2,8,1,15.1,8,1,6.9,8,1
1970/2/21,10.6,8,1,15.2,8,1,7.2,8,1
1970/2/22,5.5,8,1,7.4,8,1,4.4,8,1
1970/2/23,4.8,8,1,7.0,8,1,3.0,8,1
1970/2/24,3.7,8,1,7.0,8,1,0.1,8,1
1970/2/25,4.1,8,1,5.3,8,1,2.6,8,1
1970/2/26,4.1,8,1,7.1,8,1,1.5,8,1
1970/2/27,8.1,8,1,12.5,8,1,3.2,8,1
1970/2/28,1.0,8,1,6.6,8,1,0.2,8,1
1970/3/1,2.7,8,1,7.2,8,1,-0.9,8,1
1970/3/2,0.9,8,1,4.9,8,1,-2.4,8,1
1970/3/3,2.9,8,1,6.8,8,1,-1.1,8,1
1970/3/4,1.6,8,1,3.1,8,1,0.4,8,1
1970/3/5,1.1,8,1,4.2,8,1,-1.4,8,1
1970/3/6,1.7,8,1,6.8,8,1,-3.4,8,1
1970/3/7,3.3,8,1,7.2,8,1,-1.2,8,1
1970/3/8,4.7,8,1,8.8,8,1,2.0,8,1
1970/3/9,6.9,8,1,11.8,8,1,-1.0,8,1
1970/3/10,8.5,8,1,14.1,8,1,3.2,8,1
1970/3/11,5.5,8,1,8.3,8,1,1.9,8,1
1970/3/12,2.2,8,1,4.3,8,1,0.5,8,1
1970/3/13,2.1,8,1,5.0,8,1,-0.9,8,1
1970/3/14,3.0,8,1,7.2,8,1,0.6,8,1
1970/3/15,3.3,8,1,7.0,8,1,0.1,8,1
1970/3/16,6.9,8,1,12.1,8,1,2.0,8,1
1970/3/17,4.5,8,1,8.6,8,1,0.7,8,1
1970/3/18,4.7,8,1,8.6,8,1,-0.2,8,1
1970/3/19,3.5,8,1,8.1,8,1,-1.1,8,1
1970/3/20,2.8,8,1,7.0,8,1,-1.5,8,1
1970/3/21,4.1,8,1,7.9,8,1,-0.3,8,1
1970/3/22,3.6,8,1,7.6,8,1,-0.1,8,1
1970/3/23,4.3,8,1,8.1,8,1,1.0,8,1
1970/3/24,4.7,8,1,10.1,8,1,-1.0,8,1
1970/3/25,5.2,8,1,9.6,8,1,-0.4,8,1
1970/3/26,5.4,8,1,10.1,8,1,-0.7,8,1
1970/3/27,8.6,8,1,12.9,8,1,2.0,8,1
