ダウンロードした時刻：2018/07/25 16:01:48

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1872/5/17,,0,1,,0,1,,0,1
1872/5/18,,0,1,,0,1,,0,1
1872/5/19,,0,1,,0,1,,0,1
1872/5/20,,0,1,,0,1,,0,1
1872/5/21,,0,1,,0,1,,0,1
1872/5/22,,0,1,,0,1,,0,1
1872/5/23,,0,1,,0,1,,0,1
1872/5/24,,0,1,,0,1,,0,1
1872/5/25,,0,1,,0,1,,0,1
1872/5/26,,0,1,,0,1,,0,1
1872/5/27,,0,1,,0,1,,0,1
1872/5/28,,0,1,,0,1,,0,1
1872/5/29,,0,1,,0,1,,0,1
1872/5/30,,0,1,,0,1,,0,1
1872/5/31,,0,1,,0,1,,0,1
1872/6/1,,0,1,,0,1,,0,1
1872/6/2,,0,1,,0,1,,0,1
1872/6/3,,0,1,,0,1,,0,1
1872/6/4,,0,1,,0,1,,0,1
1872/6/5,,0,1,,0,1,,0,1
1872/6/6,,0,1,,0,1,,0,1
1872/6/7,,0,1,,0,1,,0,1
1872/6/8,,0,1,,0,1,,0,1
1872/6/9,,0,1,,0,1,,0,1
1872/6/10,,0,1,,0,1,,0,1
1872/6/11,,0,1,,0,1,,0,1
1872/6/12,,0,1,,0,1,,0,1
1872/6/13,,0,1,,0,1,,0,1
1872/6/14,,0,1,,0,1,,0,1
1872/6/15,,0,1,,0,1,,0,1
1872/6/16,,0,1,,0,1,,0,1
1872/6/17,,0,1,,0,1,,0,1
1872/6/18,,0,1,,0,1,,0,1
1872/6/19,,0,1,,0,1,,0,1
1872/6/20,,0,1,,0,1,,0,1
1872/6/21,,0,1,,0,1,,0,1
1872/6/22,,0,1,,0,1,,0,1
1872/6/23,,0,1,,0,1,,0,1
1872/6/24,,0,1,,0,1,,0,1
1872/6/25,,0,1,,0,1,,0,1
1872/6/26,,0,1,,0,1,,0,1
1872/6/27,,0,1,,0,1,,0,1
1872/6/28,,0,1,,0,1,,0,1
1872/6/29,,0,1,,0,1,,0,1
1872/6/30,,0,1,,0,1,,0,1
1872/7/1,,0,1,,0,1,,0,1
1872/7/2,,0,1,,0,1,,0,1
1872/7/3,,0,1,,0,1,,0,1
1872/7/4,,0,1,,0,1,,0,1
1872/7/5,,0,1,,0,1,,0,1
1872/7/6,,0,1,,0,1,,0,1
1872/7/7,,0,1,,0,1,,0,1
1872/7/8,,0,1,,0,1,,0,1
1872/7/9,,0,1,,0,1,,0,1
1872/7/10,,0,1,,0,1,,0,1
1872/7/11,,0,1,,0,1,,0,1
1872/7/12,,0,1,,0,1,,0,1
1872/7/13,,0,1,,0,1,,0,1
1872/7/14,,0,1,,0,1,,0,1
1872/7/15,,0,1,,0,1,,0,1
1872/7/16,,0,1,,0,1,,0,1
1872/7/17,,0,1,,0,1,,0,1
1872/7/18,,0,1,,0,1,,0,1
1872/7/19,,0,1,,0,1,,0,1
1872/7/20,,0,1,,0,1,,0,1
1872/7/21,,0,1,,0,1,,0,1
1872/7/22,,0,1,,0,1,,0,1
1872/7/23,,0,1,,0,1,,0,1
1872/7/24,,0,1,,0,1,,0,1
1872/7/25,,0,1,,0,1,,0,1
1872/7/26,,0,1,,0,1,,0,1
1872/7/27,,0,1,,0,1,,0,1
1872/7/28,,0,1,,0,1,,0,1
1872/7/29,,0,1,,0,1,,0,1
1872/7/30,,0,1,,0,1,,0,1
1872/7/31,,0,1,,0,1,,0,1
1872/8/1,,0,1,,0,1,,0,1
1872/8/2,,0,1,,0,1,,0,1
1872/8/3,,0,1,,0,1,,0,1
1872/8/4,,0,1,,0,1,,0,1
1872/8/5,,0,1,,0,1,,0,1
1872/8/6,,0,1,,0,1,,0,1
1872/8/7,,0,1,,0,1,,0,1
1872/8/8,,0,1,,0,1,,0,1
1872/8/9,,0,1,,0,1,,0,1
