ダウンロードした時刻：2018/07/25 16:14:00

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1980/1/1,6.2,8,1,9.3,8,1,2.5,8,1
1980/1/2,5.0,8,1,9.3,8,1,-0.2,8,1
1980/1/3,6.3,8,1,9.2,8,1,3.3,8,1
1980/1/4,9.8,8,1,16.5,8,1,6.7,8,1
1980/1/5,4.3,8,1,8.9,8,1,1.7,8,1
1980/1/6,6.5,8,1,12.0,8,1,-1.4,8,1
1980/1/7,6.7,8,1,12.0,8,1,0.0,8,1
1980/1/8,1.9,8,1,6.0,8,1,-1.0,8,1
1980/1/9,2.5,8,1,5.6,8,1,-1.2,8,1
1980/1/10,6.3,8,1,10.6,8,1,1.6,8,1
1980/1/11,4.2,8,1,7.7,8,1,1.5,8,1
1980/1/12,2.8,8,1,6.7,8,1,-1.3,8,1
1980/1/13,2.0,8,1,3.2,8,1,0.9,8,1
1980/1/14,5.6,8,1,9.9,8,1,0.4,8,1
1980/1/15,4.9,8,1,10.0,8,1,0.0,8,1
1980/1/16,4.5,8,1,9.0,8,1,-1.5,8,1
1980/1/17,5.8,8,1,10.0,8,1,-0.8,8,1
1980/1/18,3.5,8,1,8.0,8,1,-0.6,8,1
1980/1/19,4.9,8,1,9.3,8,1,-1.4,8,1
1980/1/20,6.5,8,1,11.3,8,1,1.4,8,1
1980/1/21,3.9,8,1,7.7,8,1,0.8,8,1
1980/1/22,2.7,8,1,6.8,8,1,-0.6,8,1
1980/1/23,4.4,8,1,8.0,8,1,-0.5,8,1
1980/1/24,5.5,8,1,9.6,8,1,0.8,8,1
1980/1/25,4.5,8,1,8.7,8,1,0.6,8,1
1980/1/26,5.9,8,1,10.6,8,1,1.6,8,1
1980/1/27,7.5,8,1,13.9,8,1,-2.0,8,1
1980/1/28,11.2,8,1,16.7,8,1,4.3,8,1
1980/1/29,9.6,8,1,11.3,8,1,7.9,8,1
1980/1/30,7.1,8,1,9.5,8,1,5.6,8,1
1980/1/31,7.4,8,1,9.9,8,1,4.9,8,1
1980/2/1,4.6,8,1,6.3,8,1,3.1,8,1
1980/2/2,5.9,8,1,8.0,8,1,3.2,8,1
1980/2/3,6.6,8,1,8.8,8,1,3.5,8,1
1980/2/4,6.0,8,1,10.0,8,1,0.0,8,1
1980/2/5,4.5,8,1,6.9,8,1,2.5,8,1
1980/2/6,2.4,8,1,5.7,8,1,-0.5,8,1
1980/2/7,2.5,8,1,7.0,8,1,-1.4,8,1
1980/2/8,3.1,8,1,6.3,8,1,0.3,8,1
1980/2/9,4.3,8,1,8.8,8,1,-0.2,8,1
1980/2/10,5.0,8,1,8.9,8,1,0.1,8,1
1980/2/11,5.8,8,1,10.7,8,1,-0.4,8,1
1980/2/12,5.4,8,1,9.8,8,1,0.1,8,1
1980/2/13,4.8,8,1,9.5,8,1,1.0,8,1
1980/2/14,2.3,8,1,4.8,8,1,-0.2,8,1
1980/2/15,4.8,8,1,8.5,8,1,-0.6,8,1
1980/2/16,2.4,8,1,6.4,8,1,-1.0,8,1
1980/2/17,2.7,8,1,7.2,8,1,-2.5,8,1
1980/2/18,5.2,8,1,9.0,8,1,1.7,8,1
1980/2/19,2.2,8,1,5.3,8,1,0.9,8,1
1980/2/20,5.7,8,1,11.4,8,1,-0.6,8,1
1980/2/21,4.3,8,1,7.3,8,1,1.4,8,1
1980/2/22,3.5,8,1,8.8,8,1,-1.4,8,1
1980/2/23,4.5,8,1,8.6,8,1,0.1,8,1
1980/2/24,6.5,8,1,12.8,8,1,0.6,8,1
1980/2/25,5.8,8,1,12.1,8,1,-0.6,8,1
1980/2/26,8.3,8,1,12.4,8,1,3.1,8,1
1980/2/27,8.5,8,1,12.7,8,1,5.1,8,1
1980/2/28,3.1,8,1,5.6,8,1,0.5,8,1
1980/2/29,8.1,8,1,13.0,8,1,0.2,8,1
1980/3/1,10.6,8,1,15.4,8,1,4.8,8,1
1980/3/2,7.0,8,1,11.4,8,1,3.3,8,1
1980/3/3,5.3,8,1,7.1,8,1,3.6,8,1
1980/3/4,7.4,8,1,10.7,8,1,3.6,8,1
1980/3/5,5.8,8,1,8.7,8,1,3.6,8,1
1980/3/6,5.3,8,1,7.5,8,1,3.0,8,1
1980/3/7,6.7,8,1,8.5,8,1,5.2,8,1
1980/3/8,9.8,8,1,14.8,8,1,5.8,8,1
1980/3/9,6.5,8,1,8.4,8,1,4.6,8,1
1980/3/10,10.5,8,1,15.7,8,1,5.5,8,1
1980/3/11,4.9,8,1,7.8,8,1,3.0,8,1
1980/3/12,5.2,8,1,9.6,8,1,1.9,8,1
1980/3/13,7.0,8,1,11.0,8,1,2.2,8,1
1980/3/14,5.8,8,1,8.3,8,1,4.0,8,1
1980/3/15,7.1,8,1,11.7,8,1,3.5,8,1
1980/3/16,7.4,8,1,11.7,8,1,1.0,8,1
1980/3/17,8.4,8,1,13.6,8,1,2.7,8,1
1980/3/18,7.0,8,1,11.3,8,1,4.0,8,1
1980/3/19,4.4,8,1,5.7,8,1,3.2,8,1
1980/3/20,9.6,8,1,17.3,8,1,1.3,8,1
1980/3/21,8.9,8,1,11.3,8,1,7.1,8,1
1980/3/22,3.6,8,1,7.4,8,1,1.7,8,1
1980/3/23,5.5,8,1,10.9,8,1,0.9,8,1
1980/3/24,5.0,8,1,9.8,8,1,1.3,8,1
1980/3/25,6.1,8,1,10.7,8,1,1.5,8,1
1980/3/26,8.0,8,1,12.2,8,1,3.2,8,1
1980/3/27,9.8,8,1,14.4,8,1,4.6,8,1
