ダウンロードした時刻：2018/07/25 15:42:12

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,5.3,8,1,9.2,8,1,1.1,8,1
2010/1/2,7.0,8,1,10.4,8,1,3.9,8,1
2010/1/3,6.7,8,1,10.2,8,1,1.8,8,1
2010/1/4,5.9,8,1,9.5,8,1,2.0,8,1
2010/1/5,8.2,8,1,12.5,8,1,3.4,8,1
2010/1/6,6.7,8,1,10.6,8,1,3.2,8,1
2010/1/7,8.0,8,1,12.0,8,1,4.2,8,1
2010/1/8,7.5,8,1,11.8,8,1,3.0,8,1
2010/1/9,7.2,8,1,11.7,8,1,2.8,8,1
2010/1/10,7.0,8,1,12.2,8,1,2.8,8,1
2010/1/11,4.8,8,1,6.2,8,1,3.6,8,1
2010/1/12,4.0,8,1,5.2,8,1,3.0,8,1
2010/1/13,5.6,8,1,8.4,8,1,3.4,8,1
2010/1/14,4.0,8,1,8.3,8,1,0.6,8,1
2010/1/15,4.2,8,1,8.9,8,1,0.0,8,1
2010/1/16,3.6,8,1,7.7,8,1,0.4,8,1
2010/1/17,4.3,8,1,9.1,8,1,-0.5,8,1
2010/1/18,4.8,8,1,9.2,8,1,1.6,8,1
2010/1/19,7.7,8,1,13.1,8,1,1.3,8,1
2010/1/20,11.7,8,1,16.5,8,1,4.5,8,1
2010/1/21,13.4,8,1,18.0,8,1,6.6,8,1
2010/1/22,6.8,8,1,10.5,8,1,3.5,8,1
2010/1/23,6.0,8,1,10.1,8,1,1.6,8,1
2010/1/24,6.5,8,1,11.1,8,1,1.3,8,1
2010/1/25,8.2,8,1,14.0,8,1,2.3,8,1
2010/1/26,7.0,8,1,11.0,8,1,4.0,8,1
2010/1/27,7.4,8,1,12.7,8,1,1.4,8,1
2010/1/28,12.9,8,1,15.4,8,1,8.9,8,1
2010/1/29,7.9,8,1,11.3,8,1,6.0,8,1
2010/1/30,8.4,8,1,12.9,8,1,4.1,8,1
2010/1/31,9.1,8,1,12.9,8,1,5.2,8,1
2010/2/1,5.6,8,1,9.6,8,1,0.6,8,1
2010/2/2,4.3,8,1,8.6,8,1,0.8,8,1
2010/2/3,3.7,8,1,7.4,8,1,0.3,8,1
2010/2/4,2.5,8,1,7.0,8,1,-1.1,8,1
2010/2/5,4.8,8,1,9.0,8,1,-0.1,8,1
2010/2/6,3.2,8,1,7.4,8,1,-0.1,8,1
2010/2/7,5.4,8,1,9.8,8,1,0.7,8,1
2010/2/8,6.4,8,1,11.2,8,1,0.7,8,1
2010/2/9,15.1,8,1,18.7,8,1,6.1,8,1
2010/2/10,8.9,8,1,15.0,8,1,4.8,8,1
2010/2/11,4.4,8,1,6.0,8,1,1.6,8,1
2010/2/12,3.3,8,1,5.4,8,1,1.6,8,1
2010/2/13,2.1,8,1,3.4,8,1,0.9,8,1
2010/2/14,4.2,8,1,9.0,8,1,-0.6,8,1
2010/2/15,5.4,8,1,6.8,8,1,4.1,8,1
2010/2/16,3.8,8,1,4.8,8,1,1.9,8,1
2010/2/17,3.1,8,1,5.3,8,1,1.1,8,1
2010/2/18,3.1,8,1,5.8,8,1,0.8,8,1
2010/2/19,4.7,8,1,9.5,8,1,0.8,8,1
2010/2/20,6.3,8,1,10.7,8,1,1.4,8,1
2010/2/21,5.2,8,1,9.1,8,1,1.9,8,1
2010/2/22,7.1,8,1,11.5,8,1,3.9,8,1
2010/2/23,9.5,8,1,16.6,8,1,3.9,8,1
2010/2/24,11.3,8,1,17.4,8,1,6.8,8,1
2010/2/25,13.7,8,1,20.2,8,1,8.0,8,1
2010/2/26,16.6,8,1,19.1,8,1,14.2,8,1
2010/2/27,10.7,8,1,16.2,8,1,7.4,8,1
2010/2/28,5.2,8,1,7.6,8,1,2.4,8,1
2010/3/1,10.4,8,1,17.0,8,1,5.3,8,1
2010/3/2,5.3,8,1,7.7,8,1,2.9,8,1
2010/3/3,7.6,8,1,13.6,8,1,2.9,8,1
2010/3/4,7.3,8,1,10.7,8,1,5.3,8,1
2010/3/5,11.7,8,1,17.9,8,1,5.3,8,1
2010/3/6,10.7,8,1,12.2,8,1,9.1,8,1
2010/3/7,6.2,8,1,9.2,8,1,3.2,8,1
2010/3/8,5.2,8,1,8.4,8,1,3.0,8,1
2010/3/9,3.8,8,1,6.6,8,1,1.1,8,1
2010/3/10,5.9,8,1,13.8,8,1,1.8,8,1
2010/3/11,9.2,8,1,13.5,8,1,5.1,8,1
2010/3/12,9.9,8,1,14.6,8,1,3.6,8,1
2010/3/13,15.3,8,1,19.9,8,1,8.4,8,1
2010/3/14,9.9,8,1,14.9,8,1,6.8,8,1
2010/3/15,13.5,8,1,18.8,8,1,7.2,8,1
2010/3/16,16.7,8,1,23.7,8,1,11.0,8,1
2010/3/17,9.7,8,1,12.7,8,1,7.5,8,1
2010/3/18,9.2,8,1,13.0,8,1,5.7,8,1
2010/3/19,7.7,8,1,11.8,8,1,4.3,8,1
2010/3/20,14.9,8,1,20.2,8,1,7.4,8,1
2010/3/21,14.9,8,1,19.8,8,1,6.7,8,1
2010/3/22,9.3,8,1,12.8,8,1,5.3,8,1
2010/3/23,10.8,8,1,15.0,8,1,7.6,8,1
2010/3/24,6.6,8,1,9.6,8,1,3.1,8,1
2010/3/25,5.0,8,1,6.4,8,1,3.2,8,1
2010/3/26,7.5,8,1,11.5,8,1,4.9,8,1
2010/3/27,7.8,8,1,12.1,8,1,3.9,8,1
2010/3/28,5.2,8,1,9.0,8,1,3.7,8,1
