ダウンロードした時刻：2018/07/25 14:50:35

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,8.3,8,1,13.0,8,1,3.9,8,1
2017/1/2,8.1,8,1,13.2,8,1,4.4,8,1
2017/1/3,8.7,8,1,13.9,8,1,3.9,8,1
2017/1/4,9.0,8,1,12.8,8,1,5.4,8,1
2017/1/5,7.2,8,1,10.7,8,1,3.6,8,1
2017/1/6,4.7,8,1,8.2,8,1,0.9,8,1
2017/1/7,5.2,8,1,9.9,8,1,0.3,8,1
2017/1/8,5.1,8,1,7.2,8,1,2.6,8,1
2017/1/9,7.7,8,1,10.9,8,1,5.2,8,1
2017/1/10,9.3,8,1,12.8,8,1,6.1,8,1
2017/1/11,7.4,8,1,11.0,8,1,4.0,8,1
2017/1/12,7.4,8,1,11.4,8,1,2.3,8,1
2017/1/13,8.1,8,1,12.3,8,1,3.4,8,1
2017/1/14,3.0,8,1,7.4,8,1,-0.5,8,1
2017/1/15,2.2,8,1,5.3,8,1,-0.7,8,1
2017/1/16,4.3,8,1,8.3,8,1,-0.6,8,1
2017/1/17,6.2,8,1,10.6,8,1,2.3,8,1
2017/1/18,6.6,8,1,11.0,8,1,1.9,8,1
2017/1/19,6.5,8,1,11.2,8,1,3.3,8,1
2017/1/20,2.7,8,1,3.9,8,1,0.8,8,1
2017/1/21,6.1,8,1,11.3,8,1,2.3,8,1
2017/1/22,7.0,8,1,13.0,8,1,2.1,8,1
2017/1/23,4.7,8,1,8.3,8,1,1.9,8,1
2017/1/24,3.6,8,1,7.6,8,1,0.3,8,1
2017/1/25,4.7,8,1,9.9,8,1,1.1,8,1
2017/1/26,5.5,8,1,10.7,8,1,0.0,8,1
2017/1/27,11.3,8,1,15.6,8,1,5.3,8,1
2017/1/28,9.0,8,1,13.4,8,1,4.4,8,1
2017/1/29,8.9,8,1,13.8,8,1,4.7,8,1
2017/1/30,12.4,8,1,18.3,8,1,8.0,8,1
2017/1/31,6.9,8,1,10.8,8,1,3.8,8,1
2017/2/1,6.9,8,1,10.5,8,1,3.5,8,1
2017/2/2,5.2,8,1,9.9,8,1,2.1,8,1
2017/2/3,8.2,8,1,13.0,8,1,2.5,8,1
2017/2/4,8.5,8,1,13.2,8,1,3.9,8,1
2017/2/5,7.4,8,1,9.2,8,1,4.5,8,1
2017/2/6,9.4,8,1,15.0,8,1,6.0,8,1
2017/2/7,6.2,8,1,10.0,8,1,3.8,8,1
2017/2/8,6.8,8,1,10.8,8,1,3.5,8,1
2017/2/9,2.9,8,1,5.9,8,1,1.4,8,1
2017/2/10,4.9,8,1,10.2,8,1,2.2,8,1
2017/2/11,5.0,8,1,9.3,8,1,1.1,8,1
2017/2/12,6.3,8,1,10.9,8,1,2.9,8,1
2017/2/13,6.3,8,1,11.9,8,1,1.7,8,1
2017/2/14,6.5,8,1,11.2,8,1,2.3,8,1
2017/2/15,6.9,8,1,11.7,8,1,2.3,8,1
2017/2/16,8.0,8,1,12.1,8,1,3.4,8,1
2017/2/17,14.1,8,1,18.2,8,1,7.9,8,1
2017/2/18,8.2,8,1,11.6,8,1,6.3,8,1
2017/2/19,6.5,8,1,10.6,8,1,2.0,8,1
2017/2/20,10.5,8,1,16.7,8,1,3.3,8,1
2017/2/21,6.4,8,1,9.5,8,1,3.6,8,1
2017/2/22,7.3,8,1,11.1,8,1,1.3,8,1
2017/2/23,13.9,8,1,18.3,8,1,10.5,8,1
2017/2/24,8.1,8,1,11.2,8,1,4.6,8,1
2017/2/25,6.9,8,1,11.4,8,1,3.2,8,1
2017/2/26,8.5,8,1,12.3,8,1,4.2,8,1
2017/2/27,6.0,8,1,7.9,8,1,3.9,8,1
2017/2/28,4.8,8,1,8.9,8,1,1.8,8,1
2017/3/1,6.6,8,1,11.8,8,1,1.6,8,1
2017/3/2,7.5,8,1,8.6,8,1,6.1,8,1
2017/3/3,9.5,8,1,15.6,8,1,5.3,8,1
2017/3/4,9.1,8,1,14.1,8,1,4.6,8,1
2017/3/5,10.5,8,1,15.4,8,1,4.9,8,1
2017/3/6,9.9,8,1,12.7,8,1,8.1,8,1
2017/3/7,6.2,8,1,10.3,8,1,2.6,8,1
2017/3/8,6.2,8,1,11.0,8,1,1.5,8,1
2017/3/9,7.7,8,1,11.6,8,1,2.2,8,1
2017/3/10,9.1,8,1,14.1,8,1,4.8,8,1
2017/3/11,7.3,8,1,12.0,8,1,4.6,8,1
2017/3/12,7.3,8,1,12.2,8,1,3.1,8,1
2017/3/13,9.4,8,1,12.7,8,1,6.3,8,1
2017/3/14,8.5,8,1,11.5,8,1,6.5,8,1
2017/3/15,4.8,8,1,6.5,8,1,3.3,8,1
2017/3/16,8.4,8,1,13.2,8,1,3.6,8,1
2017/3/17,9.3,8,1,14.4,8,1,4.2,8,1
2017/3/18,10.5,8,1,14.7,8,1,5.3,8,1
2017/3/19,12.9,8,1,18.2,8,1,7.6,8,1
2017/3/20,12.4,8,1,16.8,8,1,8.9,8,1
2017/3/21,10.3,8,1,13.1,8,1,7.9,8,1
2017/3/22,10.5,8,1,15.0,8,1,6.6,8,1
2017/3/23,10.0,8,1,14.1,8,1,6.5,8,1
2017/3/24,8.7,8,1,13.8,8,1,5.6,8,1
2017/3/25,7.5,8,1,12.3,8,1,3.7,8,1
2017/3/26,7.5,8,1,9.6,8,1,5.9,8,1
2017/3/27,5.1,8,1,7.1,8,1,2.3,8,1
2017/3/28,8.3,8,1,13.7,8,1,3.8,8,1
