ダウンロードした時刻：2018/07/25 14:45:59

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,7.8,8,1,11.7,8,1,3.9,8,1
2016/1/2,7.9,8,1,12.5,8,1,3.4,8,1
2016/1/3,9.9,8,1,14.9,8,1,4.5,8,1
2016/1/4,10.4,8,1,15.5,8,1,5.4,8,1
2016/1/5,10.7,8,1,15.9,8,1,5.5,8,1
2016/1/6,8.7,8,1,11.0,8,1,6.6,8,1
2016/1/7,9.2,8,1,13.2,8,1,5.9,8,1
2016/1/8,8.0,8,1,12.8,8,1,4.6,8,1
2016/1/9,7.4,8,1,11.7,8,1,3.5,8,1
2016/1/10,8.3,8,1,11.9,8,1,3.9,8,1
2016/1/11,7.1,8,1,9.8,8,1,3.5,8,1
2016/1/12,3.6,8,1,6.1,8,1,2.3,8,1
2016/1/13,5.2,8,1,10.5,8,1,0.2,8,1
2016/1/14,6.7,8,1,11.7,8,1,1.8,8,1
2016/1/15,6.0,8,1,11.0,8,1,2.2,8,1
2016/1/16,6.5,8,1,11.1,8,1,2.7,8,1
2016/1/17,6.1,8,1,9.0,8,1,2.2,8,1
2016/1/18,6.0,8,1,11.2,8,1,3.1,8,1
2016/1/19,7.3,8,1,11.3,8,1,3.5,8,1
2016/1/20,5.8,8,1,9.4,8,1,3.2,8,1
2016/1/21,6.5,8,1,10.0,8,1,3.4,8,1
2016/1/22,6.2,8,1,11.2,8,1,3.0,8,1
2016/1/23,3.8,8,1,6.1,8,1,2.2,8,1
2016/1/24,3.8,8,1,8.3,8,1,0.1,8,1
2016/1/25,4.1,8,1,8.4,8,1,0.2,8,1
2016/1/26,4.6,8,1,8.8,8,1,-0.6,8,1
2016/1/27,6.6,8,1,11.7,8,1,1.2,8,1
2016/1/28,8.1,8,1,13.6,8,1,2.5,8,1
2016/1/29,5.8,8,1,8.2,8,1,2.8,8,1
2016/1/30,3.7,8,1,5.3,8,1,2.0,8,1
2016/1/31,6.6,8,1,9.8,8,1,3.4,8,1
2016/2/1,4.9,8,1,6.4,8,1,3.3,8,1
2016/2/2,6.0,8,1,10.9,8,1,3.1,8,1
2016/2/3,4.6,8,1,8.7,8,1,1.7,8,1
2016/2/4,5.5,8,1,9.5,8,1,1.2,8,1
2016/2/5,7.5,8,1,12.4,8,1,2.5,8,1
2016/2/6,6.9,8,1,9.8,8,1,4.7,8,1
2016/2/7,5.3,8,1,10.0,8,1,2.5,8,1
2016/2/8,4.7,8,1,11.4,8,1,0.0,8,1
2016/2/9,6.8,8,1,12.6,8,1,1.1,8,1
2016/2/10,6.3,8,1,10.3,8,1,3.3,8,1
2016/2/11,6.0,8,1,10.9,8,1,2.1,8,1
2016/2/12,7.5,8,1,11.3,8,1,1.4,8,1
2016/2/13,14.4,8,1,18.9,8,1,8.8,8,1
2016/2/14,19.0,8,1,22.1,8,1,17.0,8,1
2016/2/15,7.9,8,1,17.5,8,1,2.3,8,1
2016/2/16,6.1,8,1,9.4,8,1,2.2,8,1
2016/2/17,7.5,8,1,12.1,8,1,3.4,8,1
2016/2/18,6.1,8,1,10.5,8,1,1.8,8,1
2016/2/19,10.4,8,1,15.5,8,1,3.8,8,1
2016/2/20,9.2,8,1,12.0,8,1,7.4,8,1
2016/2/21,11.1,8,1,15.4,8,1,7.5,8,1
2016/2/22,7.2,8,1,9.8,8,1,5.5,8,1
2016/2/23,7.3,8,1,10.8,8,1,4.7,8,1
2016/2/24,6.0,8,1,8.0,8,1,2.7,8,1
2016/2/25,3.8,8,1,7.9,8,1,0.2,8,1
2016/2/26,6.7,8,1,10.5,8,1,1.5,8,1
2016/2/27,8.2,8,1,12.1,8,1,2.4,8,1
2016/2/28,9.5,8,1,13.9,8,1,5.6,8,1
2016/2/29,8.9,8,1,15.0,8,1,4.9,8,1
2016/3/1,5.7,8,1,10.0,8,1,2.7,8,1
2016/3/2,6.7,8,1,11.0,8,1,1.7,8,1
2016/3/3,9.8,8,1,15.1,8,1,3.6,8,1
2016/3/4,10.0,8,1,15.2,8,1,6.1,8,1
2016/3/5,10.7,8,1,15.4,8,1,7.3,8,1
2016/3/6,13.1,8,1,17.8,8,1,9.1,8,1
2016/3/7,15.7,8,1,16.7,8,1,14.4,8,1
2016/3/8,15.1,8,1,19.9,8,1,12.4,8,1
2016/3/9,8.9,8,1,14.9,8,1,4.3,8,1
2016/3/10,6.1,8,1,8.5,8,1,3.6,8,1
2016/3/11,5.1,8,1,6.7,8,1,3.8,8,1
2016/3/12,6.0,8,1,8.7,8,1,3.4,8,1
2016/3/13,6.6,8,1,8.8,8,1,4.6,8,1
2016/3/14,6.0,8,1,7.8,8,1,4.1,8,1
2016/3/15,8.6,8,1,14.1,8,1,4.0,8,1
2016/3/16,9.8,8,1,14.0,8,1,4.2,8,1
2016/3/17,13.1,8,1,19.3,8,1,7.5,8,1
2016/3/18,15.6,8,1,19.8,8,1,11.0,8,1
2016/3/19,15.7,8,1,17.4,8,1,14.2,8,1
2016/3/20,12.5,8,1,16.6,8,1,9.7,8,1
2016/3/21,9.1,8,1,12.6,8,1,7.3,8,1
2016/3/22,11.2,8,1,17.0,8,1,6.8,8,1
2016/3/23,11.6,8,1,16.6,8,1,7.0,8,1
2016/3/24,6.5,8,1,8.9,8,1,4.3,8,1
2016/3/25,7.8,8,1,13.2,8,1,2.5,8,1
2016/3/26,7.0,8,1,10.3,8,1,4.9,8,1
2016/3/27,9.7,8,1,15.0,8,1,5.9,8,1
